Designator,Mid X,Mid Y,Rotation,Layer
C1,183.725,-93.9,0.0,top
C10,177.8,-96.75,0.0,top
C11,179.65,-93.75,0.0,top
C12,179.65,-95.25,0.0,top
C13,179.65,-96.75,0.0,top
C14,181.5,-93.75,0.0,top
C2,159.13,-83.74,0.0,top
C3,183.725,-95.7,0.0,top
C4,172.6925,-100.345,0.0,top
C5,162.105,-83.815,0.0,top
C6,159.13,-85.54,0.0,top
C7,177.8,-93.75,0.0,top
C8,177.8,-95.25,0.0,top
C9,172.6925,-102.795,0.0,top
D1,164.945,-84.4,0.0,top
D2,161.58,-85.615,0.0,top
D3,161.58,-87.265,0.0,top
D4,164.6,-96.2,0.0,top
D5,164.6,-97.85,0.0,top
D6,164.6,-99.5,0.0,top
J3,150.0,-100.0,0.0,top
J4,137.5,-100.0,0.0,top
J5,178.8,-133.49,180.0,top
J6,179.0,-78.1025,180.0,top
L1,173.815,-96.06,0.0,top
Q1,156.055,-84.59,180.0,top
Q2,156.055,-88.015,180.0,top
Q3,159.83,-92.41,180.0,top
R1,183.725,-97.5,0.0,top
R10,168.725,-76.0,0.0,top
R11,168.725,-77.5,0.0,top
R12,194.825,-103.8,0.0,top
R13,194.825,-105.3,0.0,top
R2,181.5,-95.25,0.0,top
R3,159.13,-87.34,0.0,top
R4,181.5,-96.75,0.0,top
R5,162.53,-91.41,0.0,top
R6,162.53,-92.91,0.0,top
R7,162.53,-94.41,0.0,top
R8,162.53,-95.91,0.0,top
R9,162.53,-97.41,0.0,top
U1,197.5,-89.5,270.0,top
U2,172.655,-105.52,180.0,top
U4,191.065,-104.095,90.0,top
U5,191.065,-106.265,90.0,top
